City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Bor,RU,2022-04-04 16:57:21,56.3567,44.0669,33.73,87,100,7.27
174,Trairi,BR,2022-04-04 16:57:21,-3.2778,-39.2689,83.34,77,100,11.61
175,Lavrentiya,RU,2022-04-04 16:57:22,65.5833,-171.0,-12.37,93,25,9.84
176,Bathsheba,BB,2022-04-04 16:57:22,13.2167,-59.5167,84.81,58,40,14.97
177,Buala,SB,2022-04-04 16:57:22,-8.145,159.5921,80.51,84,99,12.1
178,Senj,HR,2022-04-04 16:57:23,44.9894,14.9058,51.94,69,6,2.44
179,Kuliyapitiya,LK,2022-04-04 16:57:23,7.4688,80.0401,78.48,91,57,2.44
180,Deputatskiy,RU,2022-04-04 16:57:23,69.3,139.9,-17.59,98,66,1.63
181,Oistins,BB,2022-04-04 16:54:54,13.0667,-59.5333,84.29,58,40,14.97
182,Hobyo,SO,2022-04-04 16:58:24,5.3505,48.5268,82.27,69,84,9.64
183,Bethel,US,2022-04-04 16:52:19,41.3712,-73.414,53.15,54,20,9.22
184,Lagoa,PT,2022-04-04 16:58:24,39.05,-27.9833,59.0,64,100,10.65
185,Beringovskiy,RU,2022-04-04 16:52:32,63.05,179.3167,-11.15,96,99,10.78
186,Port Elizabeth,ZA,2022-04-04 16:58:25,-33.918,25.5701,66.09,87,20,17.27
187,Saint-Augustin,CA,2022-04-04 16:58:25,51.226,-58.6502,32.65,95,59,4.09
188,Florina,GR,2022-04-04 16:58:25,40.782,21.4098,42.58,93,100,3.2
189,Marsh Harbour,BS,2022-04-04 16:58:26,26.5412,-77.0636,74.7,73,95,10.47
190,Tasiilaq,GL,2022-04-04 16:56:01,65.6145,-37.6368,15.55,87,88,8.39
191,Jalu,LY,2022-04-04 16:58:26,29.0331,21.5482,91.94,5,0,7.65
192,Clyde River,CA,2022-04-04 16:53:42,70.4692,-68.5914,14.23,92,75,2.3
193,New Norfolk,AU,2022-04-04 16:58:26,-42.7826,147.0587,57.92,72,96,1.99
194,Mao,ES,2022-04-04 16:58:27,39.8885,4.2658,50.56,66,20,16.11
195,Ahipara,NZ,2022-04-04 16:58:27,-35.1667,173.1667,63.57,91,100,5.75
196,Port Lincoln,AU,2022-04-04 16:56:12,-34.7333,135.8667,62.06,85,4,11.45
197,Bacolod,PH,2022-04-04 16:58:27,10.6667,122.95,79.21,82,90,10.31
198,Victoria,HK,2022-04-04 16:50:46,22.2855,114.1577,67.32,76,4,15.01
199,Fairbanks,US,2022-04-04 16:55:10,64.8378,-147.7164,8.49,77,0,0.0
200,Pisco,PE,2022-04-04 16:58:28,-13.7,-76.2167,73.02,78,0,8.05
201,Balad,IQ,2022-04-04 16:58:28,34.0164,44.1453,77.83,14,29,11.34
202,Henties Bay,NA,2022-04-04 16:58:29,-22.116,14.2845,63.14,75,0,11.65
203,Koksovyy,RU,2022-04-04 16:58:29,48.1967,40.5989,39.18,57,80,11.07
204,Oskarshamn,SE,2022-04-04 16:58:29,57.2645,16.4484,36.99,97,100,12.62
205,Barranca,PE,2022-04-04 16:58:29,-10.75,-77.7667,73.04,73,81,9.62
206,Cherskiy,RU,2022-04-04 16:58:30,68.75,161.3,-23.4,99,66,2.26
207,Kalmunai,LK,2022-04-04 16:58:30,7.4167,81.8167,80.55,77,64,7.29
208,Laguna,US,2022-04-04 16:58:30,38.421,-121.4238,62.29,66,0,5.75
209,Port Blair,IN,2022-04-04 16:54:58,11.6667,92.75,82.44,78,20,2.3
210,Yining,CN,2022-04-04 16:58:31,29.0361,114.5636,59.95,74,100,1.16
211,Sorong,ID,2022-04-04 16:58:31,-0.8833,131.25,78.12,86,55,6.26
212,Waipawa,NZ,2022-04-04 16:58:31,-41.4122,175.5153,53.71,88,24,7.72
213,Norman Wells,CA,2022-04-04 16:58:32,65.282,-126.8329,-7.56,64,75,10.36
214,Mahebourg,MU,2022-04-04 16:55:08,-20.4081,57.7,79.09,83,100,11.5
215,Bayir,TR,2022-04-04 16:58:32,37.2687,28.2167,55.92,51,100,2.82
216,Ust-Maya,RU,2022-04-04 16:58:33,60.4167,134.5333,18.95,97,100,2.48
217,Palu,ID,2022-04-04 16:58:33,-0.8917,119.8707,75.29,94,100,2.33
218,Iracoubo,GF,2022-04-04 16:58:33,5.4802,-53.2011,79.52,83,93,13.65
219,Makakilo City,US,2022-04-04 16:58:33,21.3469,-158.0858,73.72,64,40,6.91
220,Kawalu,ID,2022-04-04 16:58:34,-7.3817,108.2082,72.07,98,37,0.89
221,Coos Bay,US,2022-04-04 16:58:34,43.3665,-124.2179,51.31,98,100,12.66
222,Mityana,UG,2022-04-04 16:58:34,0.4175,32.0228,71.1,68,75,3.96
223,Darnah,LY,2022-04-04 16:55:07,32.767,22.6367,69.64,52,67,13.91
224,Mecca,SA,2022-04-04 16:53:59,21.4267,39.8261,86.47,26,98,4.16
225,Kovdor,RU,2022-04-04 16:58:35,67.5662,30.4758,18.9,96,97,5.7
226,Antofagasta,CL,2022-04-04 16:54:05,-23.65,-70.4,72.21,49,1,8.61
227,Zeya,RU,2022-04-04 16:58:36,53.75,127.2667,18.0,77,63,3.56
228,Gat,IL,2022-04-04 16:59:36,31.61,34.7642,70.81,100,5,8.75
229,Nhulunbuy,AU,2022-04-04 16:55:34,-12.2333,136.7667,77.61,88,28,0.0
230,Wilmington,US,2022-04-04 16:56:58,34.2257,-77.9447,66.0,50,64,4.0
231,Belmonte,BR,2022-04-04 16:59:37,-15.8631,-38.8828,82.85,65,34,5.84
232,Coahuayana,MX,2022-04-04 16:59:37,18.7333,-103.6833,84.0,44,24,6.8
233,Ginir,ET,2022-04-04 16:59:37,7.1333,40.7,64.89,43,16,4.56
234,Muli,MV,2022-04-04 16:59:37,2.9167,73.5667,83.82,60,64,2.44
