City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Dunedin,NZ,-45.8742,170.5036,52.81,68,87,15.01,overcast clouds
183,Padang,ID,-0.9492,100.3543,79.65,79,98,1.61,overcast clouds
184,Jamestown,US,42.097,-79.2353,45.01,58,100,11.5,overcast clouds
185,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
186,Monster,NL,52.0258,4.175,47.95,70,75,11.5,broken clouds
187,Kaeo,NZ,-35.1,173.7833,54.32,94,2,5.7,clear sky
188,Irtyshskiy,RU,58.3333,68.1333,31.75,95,100,5.57,overcast clouds
189,Opuwo,NA,-18.0607,13.84,86.68,27,2,4.25,clear sky
190,Danilovka,RU,50.3557,44.1168,55.89,63,62,15.5,broken clouds
191,Ayagoz,KZ,47.9714,80.4392,41.38,75,6,6.11,clear sky
192,Boguchany,RU,58.3814,97.4531,25.83,97,100,1.83,overcast clouds
193,Chavakkad,IN,10.5333,76.05,77.34,91,100,9.8,light rain
194,Cayenne,GF,4.9333,-52.3333,86.04,70,75,18.41,broken clouds
195,Mitchell,US,43.7094,-98.0298,39.18,48,0,27.63,clear sky
196,Ginir,ET,7.1333,40.7,66.2,46,100,6.67,overcast clouds
197,Saint George,US,37.1041,-113.5841,64.44,20,0,1.01,clear sky
198,Hasaki,JP,35.7333,140.8333,52.2,67,0,14.99,clear sky
199,Camacupa,AO,-12.0167,17.4833,68.41,85,96,1.57,overcast clouds
200,Aba,NG,5.1066,7.3667,86.54,65,98,9.46,light rain
201,Xiuyan,CN,40.2928,123.2744,45.9,96,54,7.05,broken clouds
202,Okato,NZ,-39.2,173.8833,52.68,82,28,6.98,scattered clouds
203,Westport,US,41.1415,-73.3579,60.84,61,40,9.22,scattered clouds
204,Dunkirk,FR,51.05,2.3667,49.01,62,100,3.0,overcast clouds
205,Buraydah,SA,26.326,43.975,84.67,7,90,2.84,overcast clouds
206,Tacna,PE,-18.0056,-70.2483,70.0,56,0,5.75,clear sky
207,Balabac,PH,7.9868,117.0645,80.51,82,100,18.52,overcast clouds
208,Burdur,TR,37.7203,30.2908,59.7,51,20,10.36,few clouds
209,Clyde River,CA,70.4692,-68.5914,7.03,78,100,9.22,light snow
210,Vardo,NO,70.3705,31.1107,35.58,80,20,28.77,few clouds
211,Lompoc,US,34.6391,-120.4579,85.78,34,4,5.12,clear sky
212,Diamantino,BR,-14.4086,-56.4461,90.57,48,9,7.76,clear sky
213,Dakar,SN,14.6937,-17.4441,101.28,64,11,22.91,few clouds
214,Sakakah,SA,29.9697,40.2064,90.18,9,100,10.29,overcast clouds
215,Vila Do Maio,CV,15.1333,-23.2167,84.99,79,1,16.13,clear sky
216,Ranau,MY,5.9538,116.6641,70.34,93,100,3.04,overcast clouds
217,Hervey Bay,AU,-25.2986,152.8535,70.02,93,29,8.99,scattered clouds
218,Malakal,SS,9.5334,31.6605,97.07,25,43,6.55,scattered clouds
219,Khatanga,RU,71.9667,102.5,-0.81,97,33,6.31,scattered clouds
220,Richards Bay,ZA,-28.783,32.0377,65.57,86,61,5.5,light rain
221,Provideniya,RU,64.3833,-173.3,-3.41,99,99,4.25,overcast clouds
222,Clyde,US,41.3042,-82.9752,46.56,71,100,13.44,overcast clouds
223,Baeza,ES,37.9938,-3.471,65.5,44,94,11.68,overcast clouds
224,Port Hardy,CA,50.6996,-127.4199,43.38,85,100,9.46,light rain
225,Hirara,JP,24.8,125.2833,70.54,68,6,16.91,clear sky
226,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,92,100,21.32,overcast clouds
227,Chenghai,CN,23.4632,116.768,68.18,66,0,8.7,clear sky
228,Isangel,VU,-19.55,169.2667,80.35,85,100,10.51,overcast clouds
229,Ola,RU,59.5833,151.2833,10.15,96,79,6.22,broken clouds
230,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.54,70,82,3.06,broken clouds
231,Havoysund,NO,70.9963,24.6622,34.03,75,67,20.47,broken clouds
232,Homer,US,59.6425,-151.5483,26.8,81,100,20.71,overcast clouds
233,Touros,BR,-5.1989,-35.4608,86.2,64,86,14.74,overcast clouds
234,Belyye Stolby,RU,55.3314,37.854,53.49,54,0,17.9,clear sky
235,Phalombe,MW,-15.8064,35.6507,68.05,96,99,5.08,light rain
236,Banon,ES,40.8382,-1.1909,69.06,26,0,6.91,clear sky
237,Kahului,US,20.8947,-156.47,72.84,79,20,13.8,few clouds
238,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,36.21,100,100,13.62,overcast clouds
239,Hofn,IS,64.2539,-15.2082,35.62,35,20,4.61,few clouds
240,Kirakira,SB,-10.4544,161.9205,80.65,85,100,8.59,overcast clouds
241,Bolivar,US,37.6145,-93.4105,38.57,66,100,21.12,overcast clouds
242,Okahandja,NA,-21.9833,16.9167,84.18,22,26,8.1,scattered clouds
243,Paramonga,PE,-10.6667,-77.8333,71.47,78,79,8.32,broken clouds
244,Matamoros,MX,25.5333,-103.25,66.31,19,0,6.91,clear sky
245,Loiza,PR,18.4313,-65.8802,82.4,69,75,18.41,broken clouds
246,Kefamenanu,ID,-9.4467,124.4781,69.84,95,98,2.89,overcast clouds
247,Calvinia,ZA,-31.4707,19.776,67.46,16,1,16.24,clear sky
248,Balkanabat,TM,39.5108,54.3671,68.63,42,70,5.66,broken clouds
249,Kokopo,PG,-4.352,152.2633,76.98,87,100,8.39,moderate rain
250,Alpena,US,45.0617,-83.4327,41.32,87,100,1.01,light rain
251,Luanda,AO,-8.8368,13.2343,80.46,82,74,12.01,broken clouds
252,Katherine,AU,-14.4667,132.2667,71.92,49,100,6.91,overcast clouds
253,Maniitsoq,GL,65.4167,-52.9,21.15,82,100,6.46,overcast clouds
254,Komatsu,JP,36.4026,136.4509,50.25,54,0,4.21,clear sky
255,Fort Morgan,US,40.2503,-103.8,44.02,28,0,5.75,clear sky
256,Yara,CU,20.2753,-76.9533,91.89,43,48,5.39,scattered clouds
257,West Wendover,US,40.7391,-114.0733,47.41,27,0,9.22,clear sky
258,Sorong,ID,-0.8833,131.25,80.56,82,100,9.98,overcast clouds
259,Araouane,ML,18.9048,-3.5265,104.09,6,95,14.92,overcast clouds
260,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,27.63,scattered clouds
261,Brae,GB,60.3964,-1.353,41.59,61,94,27.85,overcast clouds
262,Manado,ID,1.487,124.8455,77.77,94,40,0.0,scattered clouds
263,Indramayu,ID,-6.3264,108.32,80.19,77,75,6.62,broken clouds
264,Lata,PT,40.1629,-8.3327,57.92,93,100,7.18,overcast clouds
265,Porto Walter,BR,-8.2686,-72.7439,88.0,62,89,2.28,overcast clouds
266,Faanui,PF,-16.4833,-151.75,81.63,75,100,20.11,overcast clouds
267,Vanavara,RU,60.34,102.2797,11.82,97,83,2.04,broken clouds
268,Shatrovo,RU,56.5167,64.6333,27.88,97,33,6.04,scattered clouds
269,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,48,0,11.5,clear sky
270,Sibiti,CG,-3.6819,13.3499,76.53,91,83,2.95,heavy intensity rain
271,Middle Island,US,40.8843,-72.9373,61.45,63,20,14.97,few clouds
272,Oyabe,JP,36.676,136.8672,41.92,88,0,2.26,clear sky
273,Barranca,PE,-10.75,-77.7667,70.7,77,78,8.21,broken clouds
274,Qasigiannguit,GL,68.8193,-51.1922,17.85,79,100,3.09,overcast clouds
275,Trincomalee,LK,8.5711,81.2335,82.13,72,97,1.21,overcast clouds
276,Port Macquarie,AU,-31.4333,152.9167,64.89,82,86,5.77,overcast clouds
277,Raudeberg,NO,61.9875,5.1352,38.07,72,52,20.78,broken clouds
278,Saint-Francois,FR,46.4154,3.9054,60.67,55,0,20.71,clear sky
279,Kavieng,PG,-2.5744,150.7967,78.85,84,100,12.82,light rain
280,Bubaque,GW,11.2833,-15.8333,78.28,74,10,17.9,clear sky
281,Mount Isa,AU,-20.7333,139.5,80.37,34,0,12.66,clear sky
282,Jiuquan,CN,39.7432,98.5174,62.42,10,0,10.71,clear sky
283,Puerto Colombia,CO,10.9878,-74.9547,84.29,74,81,12.57,broken clouds
284,Burnie,AU,-41.0667,145.9167,60.93,79,95,12.88,overcast clouds
285,Dingle,PH,10.9995,122.6711,74.17,93,100,4.74,overcast clouds
286,Emba,KZ,48.8264,58.1442,52.2,60,100,13.65,overcast clouds
287,Kijang,KR,35.2442,129.2139,56.28,63,0,7.61,clear sky
288,Karasburg,NA,-28.0167,18.75,76.35,20,12,15.26,few clouds
289,San Antero,CO,9.3741,-75.7589,81.97,76,100,3.91,overcast clouds
290,Okhotsk,RU,59.3833,143.3,19.29,89,100,6.17,overcast clouds
291,Boffa,GN,10.1667,-14.0333,91.51,55,6,14.41,clear sky
292,Jimo,CN,36.3897,120.4622,60.87,72,41,8.9,scattered clouds
293,Wageningen,NL,51.9667,5.6667,49.05,64,100,10.36,overcast clouds
294,Goldsboro,US,35.3849,-77.9928,66.18,55,40,0.0,scattered clouds
295,Babayurt,RU,43.6002,46.7789,52.74,67,99,1.39,overcast clouds
296,Kargasok,RU,59.0556,80.8572,32.11,98,100,8.12,overcast clouds
297,Saskylakh,RU,71.9167,114.0833,-10.44,100,79,2.8,broken clouds
298,Coquimbo,CL,-29.9533,-71.3436,56.93,94,100,8.05,overcast clouds
299,Sioux Lookout,CA,50.1001,-91.917,27.32,81,29,13.35,scattered clouds
300,Ilulissat,GL,69.2167,-51.1,17.62,79,75,5.75,light shower snow
301,Portree,GB,57.4129,-6.1942,42.53,77,71,14.52,broken clouds
302,Omsukchan,RU,62.5333,155.8,6.4,99,100,4.38,overcast clouds
303,Stradella,IT,45.0731,9.3008,72.3,51,86,4.63,overcast clouds
304,Port Hedland,AU,-20.3167,118.5667,84.25,79,4,9.22,clear sky
305,Baykit,RU,61.67,96.37,9.3,97,89,2.73,overcast clouds
306,Berlevag,NO,70.8578,29.0864,33.8,82,98,24.72,overcast clouds
307,Maholi,IN,27.6667,80.4667,88.2,10,0,1.95,clear sky
308,Amahai,ID,-3.3333,128.9167,78.62,84,100,1.34,overcast clouds
309,Broome,US,42.2506,-75.833,54.46,56,40,9.22,scattered clouds
310,Saint-Augustin,CA,51.226,-58.6502,32.79,99,100,6.2,overcast clouds
311,Voznesenskoye,RU,54.89,42.7569,42.96,84,37,10.38,scattered clouds
312,Hikari,JP,33.955,131.95,53.58,74,0,1.63,clear sky
313,Nemuro,JP,43.3236,145.575,35.29,85,80,7.27,broken clouds
314,Concarneau,FR,47.875,-3.9225,50.29,76,97,18.14,overcast clouds
315,Kaduna,NG,10.5222,7.4383,102.63,13,44,8.41,scattered clouds
316,Poronaysk,RU,49.2167,143.1167,30.4,78,100,7.27,snow
317,Khani,GE,41.9563,42.9566,54.97,99,97,4.56,overcast clouds
318,Tura,IN,25.5198,90.2201,74.37,71,0,6.24,clear sky
319,Ormara,PK,25.2088,64.6357,82.81,62,43,19.57,scattered clouds
320,Coihaique,CL,-45.5752,-72.0662,55.35,71,40,4.61,scattered clouds
321,Hoquiam,US,46.9809,-123.8893,48.96,86,100,17.27,overcast clouds
322,Rocha,UY,-34.4833,-54.3333,79.29,39,2,9.57,clear sky
323,Menongue,AO,-14.6585,17.691,70.92,76,85,4.9,overcast clouds
324,Cabo San Lucas,MX,22.8909,-109.9124,84.61,58,20,5.75,few clouds
325,Deputatskiy,RU,69.3,139.9,-5.58,100,100,2.59,overcast clouds
326,South Sioux City,US,42.4739,-96.4136,42.75,49,0,25.32,clear sky
327,Ingham,US,42.6,-84.3833,42.98,85,100,6.91,overcast clouds
328,Pamplona,ES,42.8169,-1.6432,62.98,48,40,16.11,scattered clouds
329,Cootamundra,AU,-34.65,148.0333,61.54,86,98,15.55,overcast clouds
330,Abha,SA,18.2164,42.5053,68.25,46,0,10.36,clear sky
331,Palauig,PH,15.435,119.9045,79.81,77,82,3.29,broken clouds
332,Benguela,AO,-12.5763,13.4055,79.16,81,37,5.01,moderate rain
333,Wajima,JP,37.4,136.9,46.2,71,0,7.81,clear sky
334,Zharkovskiy,RU,55.849,32.2697,39.81,98,100,3.78,overcast clouds
335,Torrington,US,41.8007,-73.1212,56.75,77,73,5.99,broken clouds
336,Komsomolskiy,UZ,40.4272,71.7189,72.32,40,100,6.91,overcast clouds
337,Ischia,IT,40.7342,13.9471,63.95,81,4,4.0,clear sky
338,Tupiza,BO,-21.45,-65.7167,69.6,30,79,11.77,broken clouds
339,Esperance,AU,-33.8667,121.9,67.82,86,80,12.08,broken clouds
340,Santa Maria,BR,-29.6842,-53.8069,73.06,75,79,7.31,broken clouds
341,Skala Fourkas,GR,39.9998,23.3841,61.18,62,1,6.98,clear sky
342,Artyom,AZ,40.4723,50.333,57.34,76,73,31.32,broken clouds
343,Velikiy Ustyug,RU,60.7644,46.3106,34.41,99,100,7.65,overcast clouds
344,Tabas,IR,33.5959,56.9244,78.8,11,14,6.78,few clouds
345,Wanaka,NZ,-44.7,169.15,41.11,78,2,1.01,clear sky
346,Bairiki,KI,1.3292,172.9752,80.6,83,75,12.66,broken clouds
